RiskFactor,WheelBase,Length,Width,Height,CurbWeight,Price
-2,104.3,188.8,67.2,56.2,2912,12940
-2,104.3,188.8,67.2,56.2,2935,15985
-2,104.3,188.8,67.2,56.2,3045,18420
-1,103.3,174.6,64.6,59.8,2535,8921
-1,110,190.9,70.3,56.5,3515,25552
-1,110,190.9,70.3,58.7,3750,28248
-1,115.6,202.6,71.7,56.3,3770,31600
-1,115.6,202.6,71.7,56.5,3740,34184
-1,96.3,172.4,65.4,51.6,2403,9279
-1,103.3,174.6,64.6,59.8,2535,8921
-1,102.4,175.6,66.5,54.9,2326,8948
-1,102.4,175.6,66.5,54.9,2480,10698
-1,102.4,175.6,66.5,53.9,2414,9988
-1,102.4,175.6,66.5,54.9,2414,10898
-1,102.4,175.6,66.5,53.9,2458,11248
-1,104.5,187.8,66.5,54.1,3131,15690
-1,104.5,187.8,66.5,54.1,3151,15750
-1,104.3,188.8,67.2,57.5,3034,13415
-1,104.3,188.8,67.2,57.5,3042,16515
-1,104.3,188.8,67.2,57.5,3157,18950
-1,109.1,188.8,68.9,55.5,2952,16845
-1,109.1,188.8,68.8,55.5,3049,19045
-1,109.1,188.8,68.9,55.5,3012,21485
-1,109.1,188.8,68.9,55.5,3217,22470
-1,109.1,188.8,68.9,55.5,3062,22625
0,99.5,178.2,67.9,52,3053,22815
0,101.2,176.8,64.8,54.3,2395,16925
0,101.2,176.8,64.8,54.3,2710,20970
0,101.2,176.8,64.8,54.3,2765,21105
0,103.5,189,66.9,55.7,3230,30760
0,103.5,193.8,67.9,53.7,3380,41315
0,110,197,70.9,56.3,3505,36880
0,94.5,158.8,63.6,52,1909,6575
0,96.5,163.4,64,54.5,2010,7295
0,96.5,157.1,63.9,58.3,2024,7295
0,96.5,167.5,65.2,53.3,2236,7895
0,96.5,167.5,65.2,53.3,2289,9095
0,96.5,175.4,65.2,54.1,2304,8845
0,96.5,175.4,62.5,54.1,2372,10295
0,96.5,175.4,65.2,54.1,2465,12945
0,94.3,170.7,61.8,53.5,2337,6785
0,113,199.6,69.6,52.8,4066,32250
0,113,199.6,69.6,52.8,4066,35550
0,102,191.7,70.6,47.8,3950,36000
0,98.8,177.8,66.5,55.5,2410,8495
0,98.8,177.8,66.5,55.5,2410,10245
0,98.8,177.8,66.5,55.5,2443,10795
0,98.8,177.8,66.5,55.5,2425,11245
0,104.9,175,66.1,54.4,2670,18280
0,104.9,175,66.1,54.4,2700,18344
0,106.7,187.5,70.3,54.9,3495,28176
0,120.9,208.1,71.7,56.7,3900,40960
0,97.2,173.4,65.2,54.7,2324,8949
0,97.2,173.4,65.2,54.7,2302,9549
0,100.4,181.7,66.5,55.1,3095,13499
0,100.4,184.6,66.5,56.1,3296,14399
0,100.4,184.6,66.5,55.1,3060,13499
0,107.9,186.7,68.4,56.7,3020,11900
0,107.9,186.7,68.4,56.7,3197,13200
0,114.2,198.9,68.4,58.7,3230,12440
0,114.2,198.9,68.4,58.7,3430,13860
0,107.9,186.7,68.4,56.7,3075,15580
0,107.9,186.7,68.4,56.7,3252,16900
0,114.2,198.9,68.4,56.7,3285,16695
0,114.2,198.9,68.4,58.7,3485,17075
0,107.9,186.7,68.4,56.7,3075,16630
0,107.9,186.7,68.4,56.7,3252,17950
0,108,186.7,68.3,56,3130,18150
0,96.1,181.5,66.5,55.2,2579,9295
0,97.2,172,65.4,52.5,2145,7126
0,97.2,172,65.4,52.5,2190,7775
0,97.2,172,65.4,52.5,2340,9960
0,97,172,65.4,54.3,2385,9233
0,97,172,65.4,54.3,2510,11259
0,97,173.5,65.4,53,2290,7463
0,97,173.5,65.4,53,2455,10198
0,96.9,173.6,65.4,54.9,2420,8013
0,96.9,173.6,65.4,54.9,2650,11694
0,95.7,169.7,63.6,59.1,2280,6918
0,95.7,169.7,63.6,59.1,2290,7898
0,95.7,169.7,63.6,59.1,3110,8778
0,95.7,166.3,64.4,53,2081,6938
0,95.7,166.3,64.4,52.8,2109,7198
0,95.7,166.3,64.4,53,2275,7898
0,95.7,166.3,64.4,52.8,2275,7788
0,95.7,166.3,64.4,53,2094,7738
0,95.7,166.3,64.4,52.8,2122,8358
0,95.7,166.3,64.4,52.8,2140,9258
0,100.4,180.2,66.9,55.1,2661,13295
0,100.4,180.2,66.9,55.1,2579,13845
0,100.4,183.1,66.9,55.1,2563,12290
1,94.5,171.2,65.5,52.4,2823,16500
1,105.8,192.7,71.4,55.7,2844,17710
1,105.8,192.7,71.4,55.7,2954,18920
1,105.8,192.7,71.4,55.9,3086,23875
1,103.5,189,66.9,55.7,3055,24565
1,94.5,155.9,63.6,52,1874,6295
1,93.7,157.3,63.8,50.8,1876,5572
1,93.7,157.3,63.8,50.8,1876,6377
1,93.7,157.3,63.8,50.8,2128,7957
1,93.7,157.3,63.8,50.6,1967,6229
1,93.7,157.3,63.8,50.6,1989,6692
1,93.7,157.3,63.8,50.6,1989,7609
1,93.7,157.3,63.8,50.6,2191,8558
1,93.7,150,64,52.6,1837,5399
1,93.7,150,64,52.6,1940,6529
1,93.7,150,64,52.6,1956,7129
1,96.5,169.1,66,51,2293,10345
1,93.1,159.1,64.2,54.1,1890,5195
1,93.1,159.1,64.2,54.1,1900,6095
1,93.1,159.1,64.2,54.1,1905,6795
1,93.1,166.8,64.2,54.1,1945,6695
1,93.1,166.8,64.2,54.1,1950,7395
1,98.8,177.8,66.5,53.7,2385,8845
1,98.8,177.8,66.5,53.7,2385,10595
1,112,199.2,72,55.4,3715,45400
1,102.7,178.4,68,54.8,2910,16503
1,93,157.3,63.8,50.8,2145,7689
1,96.3,172.4,65.4,51.6,2365,6989
1,96.3,172.4,65.4,51.6,2405,8189
1,96.3,172.4,65.4,51.6,2403,9279
1,94.5,165.3,63.8,54.5,1889,5499
1,94.5,165.3,63.8,54.5,2017,7099
1,94.5,165.3,63.8,54.5,1918,6649
1,94.5,165.3,63.8,54.5,1938,6849
1,94.5,170.2,63.8,53.5,2024,7349
1,94.5,165.3,63.8,54.5,1951,7299
1,94.5,165.6,63.8,53.3,2028,7799
1,94.5,165.3,63.8,54.5,1971,7499
1,94.5,170.2,63.8,53.5,2037,7999
1,99.2,178.5,67.9,49.7,3139,18399
1,93.7,157.3,63.8,50.8,1918,5572
1,93.7,157.3,63.8,50.8,2128,7957
1,93.7,157.3,63.8,50.6,1967,6229
1,93.7,167.3,63.8,50.8,1989,6692
1,93.7,167.3,63.8,50.8,2191,7609
1,95.7,158.7,63.6,54.5,1985,5348
1,95.7,158.7,63.6,54.5,2040,6338
1,95.7,158.7,63.6,54.5,2015,6488
1,94.5,168.7,64,52.6,2169,8058
1,94.5,168.7,64,52.6,2204,8238
1,94.5,168.7,64,52.6,2265,9298
1,94.5,168.7,64,52.6,2300,9538
2,99.8,176.6,66.2,54.3,2337,13950
2,99.4,176.6,66.4,54.3,2824,17450
2,99.8,177.3,66.3,53.1,2507,15250
2,101.2,176.8,64.8,54.3,2395,16430
2,88.4,141.1,60.3,53.2,1488,5151
2,86.6,144.6,63.9,50.8,1713,6479
2,86.6,144.6,63.9,50.8,1819,6855
2,96,172.6,65.2,51.4,2734,11048
2,93.7,157.3,64.4,50.8,1918,5389
2,93.7,157.3,64.4,50.8,1944,6189
2,93.7,157.3,64.4,50.8,2004,6669
2,95.1,162.4,63.8,53.3,2008,8249
2,96.1,176.8,66.6,50.5,2460,9895
2,99.1,186.6,66.5,56.1,2695,12170
2,99.1,186.6,66.5,56.1,2758,15510
2,99.1,186.6,66.5,56.1,2847,18620
2,93.7,156.9,63.4,53.7,2050,5118
2,93.7,157.9,63.6,53.7,2120,7053
2,93.3,157.3,63.8,55.7,2240,7603
2,98.4,176.2,65.6,52,2540,8449
2,98.4,176.2,65.6,52,2536,9639
2,98.4,176.2,65.6,52,2551,9989
2,98.4,176.2,65.6,52,2679,11199
2,98.4,176.2,65.6,52,2714,11549
2,98.4,176.2,65.6,53,2975,17669
2,97.3,171.7,65.5,55.7,2261,7775
2,97.3,171.7,65.5,55.7,2209,7975
2,97.3,171.7,65.5,55.7,2264,7995
2,97.3,171.7,65.5,55.7,2212,8195
2,97.3,171.7,65.5,55.7,2275,8495
2,97.3,171.7,65.5,55.7,2319,9495
2,97.3,171.7,65.5,55.7,2300,9995
3,88.6,168.8,64.1,48.8,2548,13495
3,88.6,168.8,64.1,48.8,2548,16500
3,95.9,173.2,66.3,50.2,2811,12964
3,95.3,169,65.7,49.6,2380,10945
3,95.3,169,65.7,49.6,2380,11845
3,95.3,169,65.7,49.6,2385,13645
3,95.3,169,65.7,49.6,2500,15645
3,96.6,180.3,70.5,50.8,3685,35056
3,96.3,173,65.4,49.4,2370,9959
3,96.3,173,65.4,49.4,2328,8499
3,95.9,173.2,66.3,50.2,2833,12629
3,95.9,173.2,66.3,50.2,2921,14869
3,95.9,173.2,66.3,50.2,2926,14489
3,91.3,170.7,67.9,49.7,3071,17199
3,91.3,170.7,67.9,49.7,3139,19699
3,95.9,173.2,66.3,50.2,2818,12764
3,94.5,168.9,68.3,50.2,2778,22018
3,89.5,168.9,65,51.6,2756,32528
3,89.5,168.9,65,51.6,2756,34028
3,89.5,168.9,65,51.6,2800,37028
3,99.1,186.6,66.5,56.1,2658,11850
3,99.1,186.6,66.5,56.1,2707,15040
3,99.1,186.6,66.5,56.1,2808,18150
3,102.9,183.5,67.7,52,2976,16558
3,102.9,183.5,67.7,52,3016,15998
3,94.5,159.3,64.2,55.6,2254,11595
3,94.5,165.7,64,51.4,2221,9980
